epoch,train_loss,train_tumor_loss,train_integrity_loss,train_tumor_accuracy,train_integrity_accuracy,validation_loss,validation_tumor_loss,validation_integrity_loss,validation_tumor_accuracy,validation_integrity_accuracy,learning_rate
1,0.4961045428012435,0.14795295316188858,0.69630317863683,0.9451762192951229,0.5019579921680313,0.5977401563099453,0.2511776877765194,0.6931249287437363,0.9086378737541528,0.5049833887043189,0.0003
2,0.4739600468590065,0.1261669971597878,0.6955861017007172,0.9551441794232823,0.4852260590957636,0.5389299577850836,0.19269018903671706,0.6924795369769252,0.9294019933554817,0.520764119601329,0.0003
3,0.45875775529719537,0.11284989454899873,0.6918157157035603,0.9579921680313279,0.5265218939124243,0.47260892787248987,0.12712147460625417,0.690974908215659,0.9559800664451827,0.5332225913621262,0.0003
4,0.46251853559949974,0.11522420074813261,0.6945886672413107,0.955500177999288,0.5119259522961909,0.5581765852101221,0.21285100721837674,0.6906511464784312,0.9144518272425249,0.5456810631229236,0.0003
5,0.45851204975850646,0.11222230419171753,0.6925794911707114,0.9601281594873621,0.5161979352082592,0.5006329336039648,0.15574093083804627,0.6897840026605169,0.9426910299003323,0.542358803986711,0.0003
6,0.4491452558709447,0.1049278937266916,0.6884347209305728,0.9622641509433962,0.5461018155927376,0.5373887271184066,0.1931678712417517,0.6884416985353362,0.9368770764119602,0.5382059800664452,0.00015
7,0.4371311070444576,0.09250087014224742,0.6892604810481141,0.964756140975436,0.5272338910644357,0.4710897288449183,0.12733882653257775,0.687501808337595,0.9476744186046512,0.5340531561461794,0.00015
8,0.42849696216187727,0.08609479661512393,0.6848043363558606,0.9654681381274475,0.5475258098967604,0.5491391593633697,0.20526029763625706,0.6877577275136777,0.9210963455149501,0.5431893687707641,0.00015
9,0.424956646475685,0.08221262286527592,0.6854880440697716,0.9715201139195443,0.5517977928088288,0.46139080619495176,0.11831347024272447,0.6861546673251941,0.9509966777408638,0.5406976744186046,0.00015
10,0.40580743866358926,0.06279986477982492,0.6860151480592922,0.9804200783196867,0.5428978284086864,0.4801556604645181,0.13738145540620006,0.6855484144236162,0.9451827242524917,0.5456810631229236,0.00015
