epoch,train_loss,train_tumor_loss,train_integrity_loss,train_tumor_accuracy,train_integrity_accuracy,validation_loss,validation_tumor_loss,validation_integrity_loss,validation_tumor_accuracy,validation_integrity_accuracy,learning_rate
1,0.8651205374915305,0.14698091449581377,0.7181396212981833,0.9412602349590602,0.49199003203987185,0.8960022817418425,0.20380699797920215,0.6921952933172055,0.9244186046511628,0.5132890365448505,0.0003
2,0.834593552399802,0.12823558906699975,0.706357966351229,0.9530081879672482,0.4809540761836953,0.9091567393157173,0.2180748752494686,0.6910818607308143,0.9194352159468439,0.532392026578073,0.0003
3,0.818788477261748,0.1220268546452765,0.6967616208340613,0.9544321822712709,0.5176219295122819,0.8302149079566779,0.1383238872544116,0.6918910250711282,0.9543189368770764,0.5182724252491694,0.0003
4,0.8097197674864677,0.11484518812172945,0.6948745833168084,0.9583481666073336,0.5165539337842648,0.8628474802669893,0.17342683950135873,0.6894206404685974,0.9368770764119602,0.5406976744186046,0.0003
5,0.7892763577520996,0.09687644222551667,0.6923999129431492,0.9658241367034532,0.522249911000356,0.9036974057406683,0.2155139016303113,0.6881835021053834,0.9219269102990033,0.5481727574750831,0.0003
6,0.7871377591816884,0.09531385009666064,0.6918239088489645,0.9676041295834816,0.5275898896404414,0.9777126609288973,0.28674926463494455,0.6909634033310849,0.9069767441860465,0.5174418604651163,0.00015
7,0.7826302913891204,0.09181362844077919,0.69081666616835,0.9665361338554646,0.5243859024563902,0.8501999847516665,0.16302202187750822,0.6871779628370291,0.9352159468438538,0.5398671096345515,0.00015
