model,count,positive_rate,threshold,accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,roc_auc,pr_auc
baseline,603,0.5704809286898839,0.5,0.693200663349917,0.6977137020741672,0.7658862876254181,0.6656976744186046,0.7122861586314152,"[[189, 70], [115, 229]]",0.7805625392834695,0.7972067352705012
improved,603,0.5704809286898839,0.5,0.9436152570480929,0.9434261919727036,0.9558823529411765,0.9447674418604651,0.9502923976608187,"[[244, 15], [19, 325]]",0.9879792583280955,0.9914770932481406
multitask_clean,603,0.5704809286898839,0.5,0.9436152570480929,0.9434261919727036,0.9558823529411765,0.9447674418604651,0.9502923976608187,"[[244, 15], [19, 325]]",0.9879792583280955,0.9914770932481406
multitask_integrity,1206,0.5,0.5157131552696228,0.7827529021558872,0.7827529021558872,0.7808896210873146,0.7860696517412935,0.7834710743801653,"[[470, 133], [129, 474]]",0.8695824360783149,0.8844068676820891
