epoch,train_loss,train_tumor_accuracy,validation_loss,validation_tumor_accuracy,learning_rate
1,0.590016846832494,0.6785332858668566,0.5120612176945836,0.7408637873754153,0.001
2,0.4785479969212745,0.7664649341402634,1.5430033233672678,0.4750830564784053,0.001
3,0.4550918658440034,0.7814168743325026,1.2996542955256776,0.5116279069767442,0.001
4,0.4048567896277169,0.8223567105731577,1.9679017212996848,0.4568106312292359,0.0005
5,0.3485618040161907,0.850124599501602,0.4738145221111386,0.7807308970099668,0.0005
6,0.30695087019978745,0.8697045211819153,0.4440217438305533,0.8056478405315615,0.0005
7,0.26915539659482807,0.8939124243503026,0.3404089588659546,0.8471760797342193,0.0005
8,0.24628553246955254,0.902812388750445,0.6712370028354203,0.760797342192691,0.0005
9,0.23835063535798356,0.9035243859024564,0.22622363833691986,0.9102990033222591,0.0005
10,0.21955725001075083,0.9159843360626557,0.4989255354848019,0.7890365448504983,0.0005
11,0.1899117042889753,0.9302242791028836,0.2848786412679476,0.8787375415282392,0.0005
12,0.18709209669300483,0.9312922748309007,0.17273310495175395,0.9335548172757475,0.0005
13,0.19523118249077354,0.923816304734781,0.4599328257230132,0.7890365448504983,0.0005
14,0.16890721962561425,0.9409042363830544,0.24510873042269798,0.9019933554817275,0.0005
15,0.1734248836531084,0.932004271982912,0.5549346306840843,0.8438538205980066,0.00025
